ID,Name,Postcode
1,Aberfoyle Park,5159
2,Abminga Station,5440
3,Adelaide,5000
4,Adelaide Airport,5950
5,Agery,5558
6,Alawoona,5311
7,Albert Park,5014
8,Alberton,5014
9,Aldgate,5154
10,Aldinga,5173
11,Aldinga Beach,5173
12,Alford,5555
13,Allandale Station,5723
14,Allenby Gardens,5009
15,Allendale East,5291
16,Allendale North,5373
17,Alma,5401
18,Alpana,5730
19,Altona,5351
20,Amata,873
21,American Beach,5222
22,American River,5221
23,Anama,5464
24,Anangu Pitjantjatjara Yankunytjatjara,872
25,Andamooka,5722
26,Andrews,5454
27,Andrews Farm,5114
28,Angas Plains,5255
29,Angas Valley,5238
30,Angaston,5353
31,Angle Park,5010
32,Angle Vale,5117
33,Angorigina,5730
34,Anna Creek,5723
35,Annadale,5356
36,Antechamber Bay,5222
37,Apamurra,5237
38,Appila,5480
39,Apy,883
40,Arckaringa,5723
41,Arcoona,5720
42,Ardrossan,5571
43,Arkaroola,5732
44,Armagh,5453
45,Arno Bay,5603
46,Arthurton,5572
47,Ascot Park,5043
48,Ashbourne,5157
49,Ashford,5035
50,Ashton,5137
51,Ashville,5259
52,Athelstone,5076
53,Athol Park,5012
54,Auburn,5451
55,Auldana,5072
56,Australia Plains,5374
57,Avenue Range,5273
58,Avon,5501
59,Ayers Range South,5724
60,Back Valley,5211
61,Bagot Well,5373
62,Baird Bay,5671
63,Bakara Well,5354
64,Balaklava,5461
65,Bald Hills,5203
66,Baldina,5417
67,Balgowan,5573
68,Balhannah,5242
69,Bangham,5268
70,Bangor,5481
71,Banksia Park,5091
72,Barabba,5460
73,Baratta,5432
74,Barinia,5453
75,Barmera,5345
76,Barna,5641
77,Barndioota,5434
78,Baroota,5495
79,Barossa Goldfields,5351
80,Barunga Gap,5520
81,Basket Range,5138
82,Baudin Beach,5222
83,Bay Of Shoals,5223
84,Beachport,5280
85,Beaufort,5550
86,Beaumont,5066
87,Bedford Park,5042
88,Beetaloo Valley,5523
89,Belair,5052
90,Belalie East,5491
91,Belalie North,5491
